I0.phi_h X,I0.phi_h Y
0.0001021590252487319,1.738263231730343e-08
0.0001021898902232602,1.738084921183983e-08
0.0001022030111710781,1.738314209621211e-08
0.0001022162191284722,1.738482015995521e-08
0.0001022284602331306,1.738876637649361e-08
0.0001022383234996654,1.739501192710522e-08
0.0001022468062104685,1.740091640171066e-08
0.0001022546341355193,1.740684002762136e-08
0.0001022621148738665,1.741327984321614e-08
0.000102269424856605,1.741990742568576e-08
0.000102276707412725,1.742650537282321e-08
0.0001022840908413911,1.743296859548482e-08
0.0001022916956711142,1.743922562973967e-08
0.0001022996411159017,1.744525529754934e-08
0.0001023080459699196,1.745113130859003e-08
0.0001023170182239301,1.745707982584936e-08
0.0001023266259685611,1.746355372081649e-08
0.0001023368456347831,1.747131156854229e-08
0.000102347510422443,1.748144286580753e-08
0.000102358323636126,1.749526937392747e-08
0.0001023689683844786,1.751415574373111e-08
0.0001023792219874863,1.753946263379277e-08
0.0001023889773494456,1.757281443578616e-08
0.000102398196707112,1.76165118201685e-08
0.0001024068657763262,1.767387190776879e-08
0.0001024149725753078,1.774956431247636e-08
0.0001024225029281783,1.785010368585901e-08
0.0001024294420231791,1.798456769687047e-08
0.0001024357771585473,1.816554509667732e-08
0.0001024415002656402,1.841025281127514e-08
0.0001024466099182089,1.874152850061597e-08
0.0001024511128681824,1.918761770931676e-08
0.000102455025278147,1.977724316570267e-08
0.0001024583738586855,2.051854002076606e-08
0.0001024611970504089,2.133765567269014e-08
0.000102463542789012,2.175788986395583e-08
0.0001024654840286086,2.048088905750155e-08
0.0001024670872804066,1.345625399970986e-08
0.0001024684326183627,-9.130287692160146e-09
0.0001024690894728678,-3.713277603000285e-08
0.0001024697190511942,-9.273066346120399e-08
0.0001024702701541851,-1.701329049557147e-07
0.000102470730599149,-2.771528034941666e-07
0.0001024711374036588,-4.184273641457594e-07
0.0001024715112971405,-6.084594364343228e-07
0.0001024718634834914,-8.63854470232389e-07
0.0001024722014494222,-1.208706326524328e-06
0.0001024725306975144,-1.676798878456542e-06
0.0001024728556527211,-2.315598083485515e-06
0.0001024731800087347,-3.191313237214103e-06
0.0001024735068517316,-4.394456115642854e-06
0.0001024738386680236,-6.044257482505221e-06
0.0001024741772275779,-8.288136502116597e-06
0.00010247452335413,-1.128999176700128e-05
0.0001024748766478173,-1.520119387592675e-05
0.0001024752353065469,-2.011592469819285e-05
0.000102475596237035,-2.602919642419734e-05
0.0001024759555479894,-3.282792614801239e-05
0.0001024763092700668,-4.033059537839896e-05
0.0001024766539673914,-4.835397008355912e-05
0.0001024769870021362,-5.676618253885926e-05
0.000102477306474005,-6.550417385982057e-05
0.0001024776110128197,-7.456236191394586e-05
0.0001024778995803235,-8.397013425374026e-05
0.000102478171345757,-9.377040825467249e-05
0.0001024784256350935,-0.000104003488145953
0.0001024786619330211,-0.0001146961048533337
0.0001024788799198144,-0.0001258546131398002
0.0001024790795328868,-0.0001374621233409481
0.0001024792610436382,-0.000149480533213007
0.0001024794251295234,-0.0001618587454079662
0.0001024795729120431,-0.0001745473510079333
0.0001024797059690866,-0.0001875215091322426
0.0001024798264394856,-0.0002008260877626008
0.0001024799373931543,-0.0002146770998762626
0.0001024800435032763,-0.0002296621721420933
0.0001024801521743524,-0.0002471464850586796
0.0001024802774699291,-0.000270613537734248
0.0001024804807252188,-0.0003186203383017185
0.0001024806596062313,-0.0003802820228330666
0.000102480809223032,-0.0004541058231296442
0.0001024809348291306,-0.000535486469799216
0.0001024810590599869,-0.0006412804225770319
0.0001024811230883369,-0.0007165388747002012
0.0001024811880428723,-0.0008171057035444426
0.0001024812204891056,-0.0008892217720168309
0.0001024812528068008,-0.0009827488054829831
0.0001024812812373526,-0.001085274557237979
0.0001024813065568219,-0.00118028546060636
0.0001024813402036669,-0.001296376960201965
